53 ,05 40.8,-01 56,24 , 2.1,STAR 09.5 lb + Bo III,Zeta Ori A, 9 ST,Alnitak ,B=4.2
54 ,05 47.8,-09 40,, 2.1,STAR BO.5 la,Kappa Ori, 8 ST,Saiph,
55 ,05 51.0,-35 46,, 3.1,STAR K1.5 III,Beta Col, 8 ST,Wezn,
56 ,05 55.2,+07 25,, 0.4,STAR M2 lab,Alpha Ori, 8 ST,Betelgeuse,
57 ,05 59.5,+44 57,, 1.9,STAR A1 IV,Beta Aur, 8 ST,Menkalinan,
58 ,05 59.8,+37 13,40 , 2.6,STAR A0p III: (si) + G2 V,Theta AurAB, 9 ST,Bogardus ,B=7.2 G2V
59 ,06 14.9,+22 31,, 3.3,STAR M3 III,Eta Gem, 8 ST,Propus,
60 ,06 20.3,-30 03,, 3.0,STAR B2.5 V,Zeta CMa, 8 ST,Phurud,
61 ,06 22.9,+22 31,, 2.8,STAR M3 Illab,Mu Gem, 8 ST,Tejat Posterior,
62 ,06 22.7,-17 58,, 2.0,STAR B1 II-III,Beta CMa, 8 ST,Murzim,
63 ,06 24.0,-52 42,,-0.7,STAR A9 II,Alpha Car, 8 ST,Canopus,
64 ,06 37.7,+16 24,, 1.9,STAR A1 IVs,Gamma Gem, 8 ST,Alhena,
65 ,06 37.7,-43 12,, 3.2,STAR B8 Illn,Nu Pup, 8 ST,,
66 ,06 44.0,+25 08,, 3.0,STAR GB lb,Epsilon Gem, 8 ST,Mebsuta,
67 ,06 45.2,-16 43,95, -1.5,STAR A0mA1 Va,Alpha CMaA, 9 ST,Sirius, B=8.5 50y
68 ,06 48.2,-61 56,, 3.3,STAR A6 Vn,Alpha Pic, 8 ST,,
69 ,06 49.9,-50 37,, 2.9,STAR K1 III,Tau Pup, 8 ST,,
70 ,06 58.6,-28 58,, 1.5,STAR B2 II,Epsilon CMa A, 8 ST,Adara,
71 ,07 03.1,-23 50,, 3.0,STAR B3 lab,Omicron^2 CMa, 8 ST,,
72 ,07 08.4,-26 23,, 1.8,STAR F8 Ia,Delta CMa, 8 ST,Wezen,
73 ,07 13.5,-44 38,, 2.6,STAR M5 Ille,L2 Pup, 8 ST,HR2748,
74 ,07 17.2,-37 05,, 2.7,STAR K3 lb,Pi Pup, 8 ST,,
75 ,07 24.2,-26 19,, 2.5,STAR B5 la,Eta CMa, 8 ST,Aludra,
76 ,07 27.2,+08 17,, 2.9,STAR B8 V,Beta cm, 8 ST,Gomeisa,
77 ,07 29.3,-43 17,220 , 3.3,STAR K5 III + Gs: V,Sigma Pup A, 9 ST,,
78 ,07 34.6,+31 53,25 , 1.9,STAR A1 V + A2mA5,Alpha Gem A, 9 ST,Castor A,
79 ,07 34.6,+31 53,25 , 2.9,STAR A2mA5 + A1 V,Alpha Gem B, 9 ST,Castor B,
80 ,07 39.3,+05 14,40 , 0.4,STAR F5 IV-V + ?,Alpha cm A, 9 ST,Procyon ,B=10.3
81 ,07 45.4,+28 02,, 1.1,STAR K0 Illb,Beta Gem, 8 ST,Pollux,
82 ,07 49.3,-24 52,, 3.3,STAR (56 lb,Xi Pup, 8 ST,,
83 ,08 03.7,-30 01,, 2.3,STAR 05 lafn,Zeta Pup, 8 ST,Naos,
84 ,08 07.6,-24 19,, 2.7,STAR F6 llp (var),Rho Pup, 8 ST,,
85 ,08 09.5,-47 21,, 1.7,STAR W08 + 09 I:,GammaA2 Vel, 8 ST,,
86 ,08 22.5,-59 31,, 1.9,STAR K3: III,Epsilon Car, 8 ST,Avior,
87 ,08 44.7,-54 43,20 , 2.0,STAR A1 IV,Delta Vel AB, 9 ST,,B=5.0
88 ,08 55.5,+05 56,, 3.1,STAR G9 II-III,Zeta Hya, 8 ST,,
89 ,08 59.3,+48 03,40 , 3.1,STAR A7 IVn + M1 V,Iota UMaA, 9 ST,Talitha, BC=10.8
90 ,09 08.0,-43 25,, 2.2,STAR K4 lb-Ila,Lambda Vel, 8 ST,Suhail,
91 ,09 13.3,-69 44,, 1.7,STAR A1 III,Beta Car, 8 ST,Miaplacidus,
92 ,09 17.1,-59 17,, 2.2,STAR A8 II,Iota Car, 8 ST,Turais,
93 ,09 21.1,+34 23,, 3.1,STAR K7 Illab,Alpha Lyn, 8 ST,,
94 ,09 22.1,-55 01,, 2.5,STAR B2 IV-V,Kappa Vel, 8 ST,,
95 ,09 27.6,-08 39,, 2.0,STAR K3 II-III,Alpha Hya, 8 ST,Alphard,
96 ,09 31.2,-57 01,, 3.1,STAR K5 III,N Vel, 8 ST,HR3803,
97 ,09 33.0,+51 41,, 3.2,STAR F6 IV,Theta UMa, 8 ST,,
98 ,09 45.9,+23 46,, 3.0,STAR G1 II,1 Leo, 8 ST,Ras Elased Aus,
99 ,09 47.2,-65 05,50 , 3.0,STAR A5 lb + B7 III,Nu CarAB, 9 ST,,B=6.3
100,10 08.5,+11 58,, 1.4,STAR B7 Vn,Alpha Leo A, 8 ST,Regulus,
101,10 13.7,-70 02,, 3.3,STAR B8 Illn,Omega Car, 8 ST,,
102,10 20.0,+19 51,50 , 2.6,STAR K1 Illb Fe-0.5 + *,Gamma Leo A, 9 ST,Algieba ,B=3.5 G7 III Fe—1
103,10 22.4,+41 30,, 3.1,STAR M0 Illp,Mu Uma, 8 ST,Tania Australis,
104,10 32.0,-61 42,, 3.3,STAR B4 Vne,Rho Car, 8 ST,HR4140,
